product,Link
لپ تاپ اپل 16 اینچ مدل mac book pro 16inch mk183 پردازنده m1 pro رم 16gb حافظه 512gb ssd ا apple macbook pro 16‑inch mk183 m1 pro 16gb 512gb ssd laptop,https://torob.com/p/824e92cd-77b8-4fc4-9257-dd87134e1f01/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%D9%BE%D9%84-16-%D8%A7%DB%8C%D9%86%DA%86-%D9%85%D8%AF%D9%84-mac-book-pro-16inch-mk183-%D9%BE%D8%B1%D8%AF%D8%A7%D8%B2%D9%86%D8%AF%D9%87-m1-pro-%D8%B1%D9%85-16gb-%D8%AD%D8%A7%D9%81%D8%B8%D9%87-512gb-ssd/
لپ تاپ ایسوس fx506lh | 16gb ram | 512gb ssd | i5 | 4gb vga ا laptop asus  fx506lh,https://torob.com/p/6c29e45a-208d-4133-99c3-5ffe8cb8bb66/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-fx506lh-16gb-ram-512gb-ssd-i5-4gb-vga/
لپ تاپ ایسر 8gb ram | 1tb | vga mx350 2gb | i5 1135g7 | a315 ا acer aspire 3 a315,https://torob.com/p/525faf27-2d7c-4b91-a423-428e3e731c63/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%DB%8C%D8%B3%D8%B1-8gb-ram-1tb-vga-mx350-2gb-i5-1135g7-a315/
i5(1135g7) 8gb 512gb ssd intel huawei matebook b3-520 ا لپ تاپ هوآوی matebook b3-520 i5,https://torob.com/p/774b7028-3fbc-4f9d-9e30-063bfb7c67b6/i5-1135g7-8gb-512gb-ssd-intel-huawei-matebook-b3-520/
لپ تاپ اچ پی    zbook 15 g3 | 16g ram |  512gb ssd  | i7 |  4g vga ا hp zbook 15 g3,https://torob.com/p/978cf1fa-a1f5-4582-ae3c-9e48f234f125/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%DA%86-%D9%BE%DB%8C-zbook-15-g3-16g-ram-512gb-ssd-i7-4g-vga/
لپ تاپ لنوو لاک lenovo loq-15irh8 i7(13620h) 16gb 512ssd 6(4050),https://torob.com/p/02b64524-77f7-44ff-9bac-1395d5fd05d9/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%84%D9%86%D9%88%D9%88-%D9%84%D8%A7%DA%A9-lenovo-loq-15irh8-i7-13620h-16gb-512ssd-6-4050/
لپ تاپ اچ پی مدل hp zbook g4 studio ا hp zbook g4,https://torob.com/p/1d705917-6e18-485a-965f-c9b1a71c4244/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%DA%86-%D9%BE%DB%8C-%D9%85%D8%AF%D9%84-hp-zbook-g4-studio/
لپ تاپ استوک دل latitude e5570 ا dell latitude e5570,https://torob.com/p/0b3a180b-0f9e-48d5-b281-082d09bc851e/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%D8%B3%D8%AA%D9%88%DA%A9-%D8%AF%D9%84-latitude-e5570/
لپ تاپ نظامی دل مدل dell latitude 14 5414 rugged,https://torob.com/p/7f84e650-6846-4d6b-88e6-8a468100fca2/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%86%D8%B8%D8%A7%D9%85%DB%8C-%D8%AF%D9%84-%D9%85%D8%AF%D9%84-dell-latitude-14-5414-rugged/
لپ تاپ لنوو legion 5 pro | 32gb ram | 1tb ssd | i7 12700h | vga 3060 6gb ا lenovo  legion 5 pro,https://torob.com/p/a38ec8fb-10f9-44ca-ae78-2d68fa985c45/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%84%D9%86%D9%88%D9%88-legion-5-pro-32gb-ram-1tb-ssd-i7-12700h-vga-3060-6gb/
لپ تاب ایسوس 15.6 اینچی مدل vivobook 15 r1502za-bq708 ا asus vivobook 15 r1502za-bq708 - i7 - 8gb - 512gb - iris - 15.6 inch fhd laptop,https://torob.com/p/303a341e-e9c9-47f8-b6d7-1a0fe1405983/%D9%84%D9%BE-%D8%AA%D8%A7%D8%A8-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%85%D8%AF%D9%84-vivobook-15-r1502za-bq708/
